LotArea,MiscVal,GrLivArea,2ndFlrSF,1stFlrSF,Optimal_Cluster
8450.0,0.0,1710.0,854.0,856.0,2
9600.0,0.0,1262.0,0.0,1262.0,1
11250.0,0.0,1786.0,866.0,920.0,2
9550.0,0.0,1717.0,756.0,961.0,2
14260.0,0.0,2198.0,1053.0,1145.0,5
14115.0,700.0,1362.0,566.0,796.0,2
10084.0,0.0,1694.0,0.0,1694.0,0
10382.0,350.0,2090.0,983.0,1107.0,5
6120.0,0.0,1774.0,752.0,1022.0,2
7420.0,0.0,1077.0,0.0,1077.0,1
11200.0,0.0,1040.0,0.0,1040.0,1
11924.0,0.0,2324.0,1142.0,1182.0,5
12968.0,0.0,912.0,0.0,912.0,1
10652.0,0.0,1494.0,0.0,1494.0,0
10920.0,0.0,1253.0,0.0,1253.0,1
6120.0,0.0,854.0,0.0,854.0,1
11241.0,700.0,1004.0,0.0,1004.0,1
10791.0,500.0,1296.0,0.0,1296.0,1
13695.0,0.0,1114.0,0.0,1114.0,1
7560.0,0.0,1339.0,0.0,1339.0,1
14215.0,0.0,2376.0,1218.0,1158.0,5
7449.0,0.0,1108.0,0.0,1108.0,1
9742.0,0.0,1795.0,0.0,1795.0,0
4224.0,0.0,1060.0,0.0,1060.0,1
8246.0,0.0,1060.0,0.0,1060.0,1
14230.0,0.0,1600.0,0.0,1600.0,0
7200.0,0.0,900.0,0.0,900.0,1
11478.0,0.0,1704.0,0.0,1704.0,0
16321.0,0.0,1600.0,0.0,1600.0,0
6324.0,0.0,520.0,0.0,520.0,1
8500.0,0.0,1317.0,668.0,649.0,2
8544.0,0.0,1228.0,0.0,1228.0,1
11049.0,0.0,1234.0,0.0,1234.0,1
10552.0,0.0,1700.0,0.0,1700.0,0
7313.0,0.0,1561.0,0.0,1561.0,0
13418.0,0.0,2452.0,1320.0,1132.0,5
10859.0,0.0,1097.0,0.0,1097.0,1
8532.0,0.0,1297.0,0.0,1297.0,1
7922.0,0.0,1057.0,0.0,1057.0,1
6040.0,0.0,1152.0,0.0,1152.0,1
8658.0,0.0,1324.0,0.0,1324.0,1
16905.0,0.0,1328.0,0.0,1328.0,0
9180.0,0.0,884.0,0.0,884.0,1
9200.0,0.0,938.0,0.0,938.0,1
7945.0,0.0,1150.0,0.0,1150.0,1
7658.0,0.0,1752.0,0.0,1752.0,0
12822.0,0.0,2149.0,631.0,1518.0,5
11096.0,0.0,1656.0,0.0,1656.0,0
4456.0,0.0,1452.0,716.0,736.0,2
7742.0,0.0,955.0,0.0,955.0,1
13869.0,0.0,1470.0,676.0,794.0,2
6240.0,400.0,1176.0,0.0,816.0,1
8472.0,0.0,816.0,0.0,816.0,1
50271.0,0.0,1842.0,0.0,1842.0,0
7134.0,0.0,1360.0,0.0,1360.0,1
10175.0,0.0,1425.0,0.0,1425.0,0
2645.0,0.0,1739.0,756.0,983.0,2
11645.0,0.0,1720.0,860.0,860.0,2
13682.0,0.0,2945.0,1519.0,1426.0,5
7200.0,0.0,780.0,0.0,780.0,1
13072.0,0.0,1158.0,0.0,1158.0,1
7200.0,0.0,1111.0,530.0,581.0,2
6442.0,0.0,1370.0,0.0,1370.0,1
10300.0,0.0,1710.0,808.0,902.0,2
9375.0,0.0,2034.0,977.0,1057.0,2
9591.0,0.0,2473.0,1330.0,1143.0,5
19900.0,0.0,2207.0,0.0,2207.0,0
10665.0,0.0,1479.0,0.0,1479.0,0
4608.0,0.0,747.0,0.0,747.0,1
15593.0,0.0,2287.0,983.0,1304.0,5
13651.0,0.0,2223.0,0.0,2223.0,0
7599.0,0.0,845.0,0.0,845.0,1
10141.0,0.0,1718.0,833.0,885.0,2
10200.0,0.0,1086.0,0.0,1086.0,1
5790.0,0.0,1605.0,765.0,840.0,2
1596.0,0.0,988.0,462.0,526.0,2
8475.0,0.0,952.0,0.0,952.0,1
8635.0,0.0,1285.0,213.0,1072.0,1
10778.0,0.0,1768.0,0.0,1768.0,0
10440.0,0.0,1230.0,548.0,682.0,2
